#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-10-19T17:33:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59e8e0631011	
#INFO	-out.max=99999	
#INFO	queryParameters=10	
#-oc.form=dec
#-out.max=99999
#-order=I
#-out.src=J/A+A/605/L11/tableb4
#-nav=cat:J/A+A/605/L11&tab:{J/A+A/605/L11/tableb4}&key:source=J/A+A/605/L11&HTTPPRM:&&-ref=VIZ59e8e0631011&-out.max=99999&-out.form=ascii table&-oc.form=dec&-order=I&-out=BJD&-out=RV&-out=sigma&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/605/L11/tableb4
#-source=J/A+A/605/L11/tableb4
#-order=I
#-out=BJD
#-out=RV
#-out=sigma
#

#RESOURCE=yCat_36059011
#Name: J/A+A/605/L11
#Title: YZ Ceti radial velocity curve (Astudillo-Defru+, 2017)
#Table	J_A_A_605_L11_tableb4:
#Name: J/A+A/605/L11/tableb4
#Title: Radial velocities time series for YZ Cet
#Column	BJD	(F12.6)	Barycentric Julian date (BJD-2400000)	[ucd=time.epoch]
#Column	RV	(F8.5)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	sigma	(F8.5)	Radial velocity dispersion	[ucd=spect.dopplerVeloc]
BJD;RV;sigma
d;km/s;km/s
------------;--------;--------
52986.601206;28.30238; 0.00411
52996.557553;28.29836; 0.00191
53337.624714;28.29440; 0.00126
53572.915467;28.30120; 0.00196
53573.902402;28.29976; 0.00271
53574.867426;28.29806; 0.00135
53575.937643;28.30010; 0.00145
53577.879216;28.30426; 0.00150
53578.906534;28.29851; 0.00162
53579.877065;28.29678; 0.00148
54291.931590;28.30117; 0.00164
54834.527510;28.30279; 0.00170
55125.671070;28.30020; 0.00207
55153.641327;28.30055; 0.00172
55155.581345;28.29908; 0.00195
55159.635892;28.30399; 0.00197
56459.938026;28.30096; 0.00218
56467.915375;28.30184; 0.00263
56469.940765;28.30542; 0.00175
56498.918586;28.29584; 0.00213
56505.874345;28.30743; 0.00206
56507.854082;28.30248; 0.00264
56508.926456;28.30002; 0.00196
56509.892073;28.30379; 0.00207
56511.905429;28.30221; 0.00161
56514.863200;28.29804; 0.00282
56515.854335;28.30640; 0.00166
56516.869058;28.30269; 0.00286
56517.882137;28.29540; 0.00493
56518.850350;28.30148; 0.00216
56519.846087;28.30264; 0.00168
56520.789517;28.29996; 0.00181
56521.789847;28.30245; 0.00201
56524.889195;28.30333; 0.00174
56525.876187;28.30142; 0.00164
56531.742104;28.29798; 0.00218
56531.901325;28.29834; 0.00211
56534.720124;28.30438; 0.00277
56534.859089;28.30167; 0.00156
56537.716178;28.30512; 0.00280
56537.899484;28.29844; 0.00183
56538.744718;28.30101; 0.00197
56543.760113;28.30517; 0.00204
56565.769738;28.29508; 0.00150
56576.707395;28.30664; 0.00172
56585.663743;28.30750; 0.00224
56586.635208;28.30410; 0.00166
56590.638608;28.30433; 0.00216
56591.645284;28.30134; 0.00297
56592.675685;28.30512; 0.00170
56593.663852;28.29843; 0.00186
56594.710893;28.30139; 0.00460
56599.618032;28.29880; 0.00281
56600.613041;28.30211; 0.00228
56601.593744;28.29947; 0.00149
56602.653805;28.29988; 0.00166
56603.652617;28.30196; 0.00196
56604.608109;28.30546; 0.00195
56611.567972;28.30391; 0.00280
56612.594804;28.30193; 0.00247
56613.628220;28.30579; 0.00223
56614.544200;28.30224; 0.00180
56616.573934;28.30133; 0.00243
56617.620586;28.30344; 0.00168
56618.573087;28.30244; 0.00146
56622.581716;28.30314; 0.00202
56625.560665;28.30107; 0.00168
56627.642814;28.29991; 0.00177
