#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-09-29T22:09:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59cec42d5b20	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJS/211/24/table1
#-nav=cat:J/ApJS/211/24&tab:{J/ApJS/211/24/table1}&key:source=J/ApJS/211/24/table1&HTTPPRM:&&-ref=VIZ59cec42d5b20&-out.max=unlimited&-out.form=ascii table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Teff&-out=Prot&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/211/24/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/211/24/table1
#-order=I
#-out=Teff
#-out=Prot
#

#RESOURCE=yCat_22110024
#Name: J/ApJS/211/24
#Title: Rotation periods of Kepler MS stars (McQuillan+, 2014)
#Table	J_ApJS_211_24_table1:
#Name: J/ApJS/211/24/table1
#Title: The rotation period measurements for the 34030 stars presented in this work
#Column	Teff	(I4)	[3197/6499] Star effective temperature	[ucd=phys.temperature.effective]
#Column	Prot	(F6.3)	[0.2/70]? Rotation period	[ucd=time.period]
Teff	Prot
K	d
----	------
3813	 1.532
4261	14.891
4122	 1.569
3760	15.678
4045	31.496
3774	42.659
4296	27.333
4217	23.131
4285	34.717
3925	17.045
4195	39.682
4341	38.757
4305	31.733
4354	22.189
4050	23.469
3857	17.354
3589	13.321
4055	12.315
4404	20.449
3878	 0.374
4233	18.018
3898	15.153
3857	21.712
3705	29.620
4270	10.653
4070	16.197
4230	31.319
3754	24.925
4117	27.240
3832	37.348
3625	32.879
4069	38.173
3888	24.278
4011	37.851
3688	 1.872
3934	20.429
3702	11.548
4132	20.480
4067	26.741
3471	36.258
4084	13.960
4280	 4.900
4202	10.796
4313	22.448
4078	18.502
4368	17.253
4250	11.431
4267	30.372
4289	21.537
4337	18.350
4139	38.622
3705	18.641
3482	33.671
4085	30.030
4176	21.665
3650	13.607
4352	17.089
4303	21.366
3830	26.500
4112	25.637
3913	42.246
4371	30.462
3766	17.575
3451	20.167
4312	32.307
3951	37.057
3402	 1.712
4302	21.326
3968	22.888
3984	12.217
3933	25.602
4248	19.570
3938	31.901
4379	19.754
3730	39.804
3956	11.095
3903	41.146
4398	 1.175
4242	23.778
4250	36.913
4403	49.379
4312	25.364
3617	10.104
3744	15.472
4223	38.393
3975	 8.865
4344	 2.934
4343	11.652
4013	35.915
3862	34.068
4195	16.625
4220	27.609
3774	26.101
4254	24.021
4157	23.051
3389	45.962
3869	26.121
3627	18.979
3672	 1.864
4052	27.590
4099	34.241
3836	45.990
3781	10.913
4342	39.222
4220	44.623
3897	13.635
3857	15.568
4206	23.532
